Stambecchi,,Stambecchi piccoli,,,Camosci,Battute
M,F,1918,1919,Tot,,
63,40,14,15,132,12,Ouille
45,41,6,12,104,80,Aroletta
55,40,9,10,114,50,Bioulla
90,120,15,20,245,90,Fenille
22,15,3,8,48,10,Seiva
20,15,5,7,47,40,Moncorvè
30,25,5,9,69,50,Montandaynè e Beyetta
75,80,15,15,185,48,Livionaz
35,40,9,10,94,31,Boconere
100,115,18,25,258,80,Gran Punta e Favret
35,52,3,15,105,45,Gran Valle e Herbetet
55,50,10,17,132,125,Grand St. Pierre
50,67,10,15,142,110,Bardoney Lesera
20,30,3,5,58,50,Pousset
35,55,18,16,124,90,Lanzon
38,40,4,10,92,105,Traso
,,,,0,,
233,294,48,78,653,525,Tot Cogne
535,531,99,131,1296,491,Tot Valsavaranche
,,,,0,,
768,825,147,209,1949,1016,TOT  
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
