anno,,Stambecchi,,Stambecchi piccoli,,Camosci
,,M,F,,Tot,
1899,1900,26,18,,44,4
1900,1901,96,114,,,81
1901,1902,3,2,,,
1902,1903,,,,,
1903,1904,59,46,24,,129
1904,1905,14,6,“,20,“
1905,1906,22,21,“,43,“
1906,1907,49,30,9,88,35
1907,1908,32,57,51,140,60
1908,1909,34,88,98,220,66
1909,1910,55,108,114,277,115
1910,1911,24,79,80,183,21
1911,1912,35,71,43,149,91
1912,1913,19,56,37,112,94
1913,1914,45,76,55,176,70
1914,1915,68,131,104,303,102
1915,1916,37,52,49,138,67
1916,1917,42,104,55,201,67
1917,1918,32,83,33,148,52
1918,1919,52,90,47,189,70
